,Precision,Recall,Zeroed,NmrNeighbors,NmrRecommendations
753,0.2,0.05,312,32,7
754,0.19,0.06,278,32,9
755,0.18,0.07,248,32,11
756,0.17,0.08,232,32,13
757,0.17,0.08,217,32,15
758,0.16,0.09,206,32,17
759,0.15,0.1,191,32,19
760,0.15,0.1,185,32,21
761,0.14,0.11,177,32,23
762,0.14,0.11,167,32,25
763,0.14,0.12,161,32,27
764,0.13,0.12,155,32,29
765,0.13,0.13,151,32,31
766,0.13,0.13,148,32,33
767,0.12,0.14,144,32,35
768,0.12,0.14,137,32,37
769,0.12,0.15,131,32,39
770,0.12,0.15,128,32,41
771,0.12,0.16,125,32,43
772,0.12,0.16,121,32,45
773,0.11,0.16,118,32,47
774,0.11,0.17,115,32,49
775,0.11,0.17,111,32,51
776,0.11,0.18,108,32,53
777,0.11,0.19,103,32,55
778,0.11,0.19,99,32,57
779,0.11,0.2,96,32,59
780,0.11,0.2,90,32,61
781,0.11,0.21,82,32,63
782,0.11,0.22,80,32,65
783,0.11,0.22,76,32,67
784,0.11,0.23,71,32,69
785,0.11,0.23,66,32,71
786,0.11,0.24,61,32,73
787,0.11,0.24,59,32,75
788,0.11,0.25,57,32,77
789,0.11,0.26,53,32,79
790,0.11,0.26,50,32,81
791,0.11,0.27,48,32,83
792,0.11,0.28,46,32,85
793,0.11,0.28,42,32,87
794,0.1,0.29,42,32,89
795,0.1,0.29,39,32,91
796,0.1,0.3,37,32,93
797,0.1,0.3,34,32,95
798,0.1,0.31,33,32,97
799,0.1,0.31,31,32,99
800,0.27,0.01,686,34,1
801,0.25,0.03,465,34,3
802,0.22,0.04,360,34,5
803,0.2,0.05,310,34,7
804,0.19,0.06,283,34,9
805,0.18,0.07,248,34,11
806,0.17,0.08,227,34,13
807,0.17,0.08,217,34,15
808,0.16,0.09,205,34,17
809,0.15,0.1,193,34,19
810,0.15,0.1,181,34,21
811,0.14,0.11,176,34,23
812,0.14,0.11,168,34,25
813,0.14,0.12,160,34,27
814,0.13,0.12,157,34,29
815,0.13,0.13,152,34,31
816,0.13,0.13,147,34,33
817,0.13,0.14,141,34,35
818,0.12,0.14,137,34,37
819,0.12,0.15,134,34,39
820,0.12,0.15,132,34,41
821,0.12,0.15,125,34,43
822,0.12,0.16,122,34,45
823,0.11,0.16,120,34,47
824,0.11,0.17,116,34,49
825,0.11,0.17,111,34,51
826,0.11,0.18,108,34,53
827,0.11,0.18,105,34,55
828,0.11,0.19,102,34,57
829,0.11,0.19,96,34,59
830,0.11,0.2,88,34,61
